City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,New Norfolk,AU,-42.7826,147.0587,58.91,88,100,2.08,overcast clouds
173,Payo,ID,-3.7508,103.6372,85.06,66,100,1.81,overcast clouds
174,Scalea,IT,39.813,15.7956,68.02,61,84,1.9,broken clouds
175,Tongren,CN,27.7172,109.1853,57.85,89,100,5.86,overcast clouds
176,Ponta Do Sol,PT,32.6667,-17.1,70.72,76,42,7.52,scattered clouds
177,Laela,TZ,-8.5667,32.05,65.01,50,63,3.56,broken clouds
178,Souillac,MU,-20.5167,57.5167,75.58,73,40,13.8,scattered clouds
179,San Patricio,US,28.017,-97.5169,69.84,57,4,7.14,clear sky
180,Chuy,UY,-33.6971,-53.4616,63.09,89,99,14.61,overcast clouds
181,Hofn,IS,64.2539,-15.2082,42.19,81,11,20.18,few clouds
182,Shieli,KZ,44.1667,66.75,39.78,74,4,5.88,clear sky
183,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,19.57,scattered clouds
184,Sitka,US,57.0531,-135.33,46.29,87,100,14.97,light rain
185,Ribeira Grande,PT,38.5167,-28.7,60.8,58,100,16.75,overcast clouds
186,Jamestown,US,42.097,-79.2353,47.01,94,100,13.8,mist
187,Bara,NG,10.3744,10.7288,72.25,31,6,6.51,clear sky
188,Redlands,US,34.0556,-117.1825,64.44,67,0,6.91,clear sky
189,Nanortalik,GL,60.1432,-45.2371,32.76,98,97,3.76,overcast clouds
190,Airai,TL,-8.9266,125.4092,79.03,43,15,1.95,few clouds
191,Tiksi,RU,71.6872,128.8694,17.73,95,100,8.84,overcast clouds
192,Maketu,NZ,-37.7667,176.45,70.84,32,85,12.17,overcast clouds
193,Mahibadhoo,MV,3.7833,72.9667,81.1,79,8,5.97,clear sky
194,Dingle,PH,10.9995,122.6711,85.66,75,100,10.18,overcast clouds
195,Padang,ID,-0.9492,100.3543,84.25,70,73,3.31,broken clouds
196,West Helena,US,34.5507,-90.6418,47.95,47,0,7.29,clear sky
197,Takoradi,GH,4.8845,-1.7554,77.99,88,98,5.44,overcast clouds
198,Malayal,PH,7.208,121.942,83.17,76,79,8.95,light rain
199,Juneau,US,58.3019,-134.4197,44.6,97,100,5.75,moderate rain
200,Whitehorse,CA,60.7161,-135.0538,32.77,91,100,11.5,light snow
201,Kavaratti,IN,10.5669,72.642,81.57,58,3,8.3,clear sky
202,Nicoya,CR,10.1483,-85.452,74.93,93,79,1.5,broken clouds
203,Quatre Cocos,MU,-20.2078,57.7625,75.31,76,79,10.85,broken clouds
204,Sokode,TG,8.9833,1.1333,71.91,89,50,2.1,light rain
205,Kitob,UZ,39.0843,66.8332,52.57,59,1,3.09,clear sky
206,Simao,CN,22.7886,100.9748,71.33,70,99,3.22,overcast clouds
207,Rivne,UA,50.6231,26.2274,46.08,95,69,6.13,broken clouds
208,Severo-Kurilsk,RU,50.6789,156.125,41.38,66,100,3.06,overcast clouds
209,Golyshmanovo,RU,56.3979,68.3728,24.28,87,10,11.99,clear sky
210,Lagoa,PT,39.05,-27.9833,60.85,55,88,20.47,overcast clouds
211,Ust-Ishim,RU,57.6935,71.1665,25.56,82,44,8.21,scattered clouds
212,Lufilufi,WS,-13.8745,-171.5986,76.78,80,100,11.21,moderate rain
213,Marzuq,YE,14.4,46.4667,63.03,32,5,0.81,clear sky
214,Victoria,HK,22.2855,114.1577,82.45,65,30,10.0,scattered clouds
215,Naze,JP,28.3667,129.4833,72.09,55,55,16.84,broken clouds
216,Kawalu,ID,-7.3817,108.2082,77.34,79,91,4.45,overcast clouds
217,Port-Gentil,GA,-0.7193,8.7815,78.46,83,100,5.14,moderate rain
218,San Ramon,US,37.7799,-121.978,59.38,67,0,4.61,clear sky
219,Lubao,PH,14.9167,120.55,85.55,58,99,5.75,overcast clouds
220,Bowling Green,US,36.9903,-86.4436,42.73,87,0,0.0,mist
221,Dali,CN,25.7,100.1833,66.34,59,12,2.1,few clouds
222,Ust-Maya,RU,60.4167,134.5333,24.78,88,94,5.39,overcast clouds
223,Chiredzi,ZW,-21.05,31.6667,71.67,76,47,11.61,scattered clouds
224,Nador,MA,35.174,-2.9287,66.45,100,100,0.0,overcast clouds
225,Wilmington,US,34.2257,-77.9447,69.85,90,40,0.0,scattered clouds
226,Goderich,CA,43.7501,-81.7165,47.91,66,100,24.18,overcast clouds
227,Saldanha,ZA,-33.0117,17.9442,60.49,93,100,19.35,overcast clouds
228,Avera,US,33.194,-82.5271,56.71,66,0,6.58,clear sky
229,Labuan,MY,5.2767,115.2417,81.41,78,98,8.46,overcast clouds
230,Villa Maria,AR,-32.4075,-63.2402,62.98,41,0,3.78,clear sky
231,Santa Maria,BR,-29.6842,-53.8069,65.44,92,100,6.69,overcast clouds
232,Coachella,US,33.6803,-116.1739,73.54,39,0,0.0,clear sky
233,Khatanga,RU,71.9667,102.5,0.3,96,97,9.17,overcast clouds
234,Bingol,TR,38.8847,40.4939,49.44,62,33,4.38,scattered clouds
235,Najran,SA,17.4924,44.1277,59.65,32,1,2.42,clear sky
236,Maceio,BR,-9.6658,-35.7353,76.44,94,75,4.61,mist
237,Berezovyy,RU,51.6667,135.7,38.44,55,64,8.14,broken clouds
238,Aykhal,RU,66.0,111.5,18.79,92,67,23.89,broken clouds
239,Saint-Joseph,RE,-21.3667,55.6167,70.18,78,88,8.12,overcast clouds
240,Yulara,AU,-25.2406,130.9889,80.22,26,0,6.82,clear sky
241,Urumqi,CN,43.801,87.6005,45.55,49,0,4.47,clear sky
242,Bengkulu,ID,-3.8004,102.2655,80.69,75,100,5.5,light rain
243,Leningradskiy,RU,69.3833,178.4167,7.79,95,100,7.74,overcast clouds
244,Porto Santo,PT,33.072,-16.3415,70.18,83,75,1.14,broken clouds
245,Nacala,MZ,-14.5428,40.6728,72.66,86,6,7.92,clear sky
246,Adre,TD,13.4667,22.2,70.07,26,51,10.89,broken clouds
247,Ancud,CL,-41.8697,-73.8203,48.79,91,17,11.5,few clouds
248,Kumluca,TR,36.3703,30.2869,71.01,36,0,6.55,clear sky
249,Illapel,CL,-31.6308,-71.1653,58.86,72,0,1.41,clear sky
250,Georgetown,MY,5.4112,100.3354,84.24,78,20,5.75,few clouds
251,Orange Cove,US,36.6244,-119.3137,62.26,53,0,3.44,haze
252,Acapulco,MX,16.8634,-99.8901,80.42,89,40,6.91,scattered clouds
253,San Quintin,MX,30.4833,-115.95,64.92,81,1,12.39,clear sky
254,Kodiak,US,57.79,-152.4072,42.31,61,100,18.41,light rain
255,Havoysund,NO,70.9963,24.6622,34.03,83,100,10.22,light snow
256,Edson,CA,53.5835,-116.4356,37.06,39,99,6.2,overcast clouds
257,Vyshhorod,UA,50.5848,30.4898,51.94,97,46,9.71,scattered clouds
258,Zhicheng,CN,30.2956,111.5047,57.67,86,100,6.33,overcast clouds
259,Izhma,RU,65.0083,53.9113,29.01,92,100,10.47,overcast clouds
260,Villanueva De Cordoba,ES,38.3228,-4.6287,63.97,38,60,4.36,broken clouds
261,Praya,CV,14.9215,-23.5087,77.54,83,20,12.66,few clouds
262,Mehamn,NO,71.0357,27.8492,35.51,93,100,6.91,overcast clouds
263,Atagay,RU,55.1033,99.3875,36.81,43,51,3.22,broken clouds
264,Broome,US,42.2506,-75.833,58.19,87,20,8.05,few clouds
265,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,13.8,light rain
266,Necochea,AR,-38.5473,-58.7368,54.55,97,100,18.05,overcast clouds
267,Idritsa,RU,56.3316,28.8988,48.88,95,99,7.52,overcast clouds
268,Umm Kaddadah,SD,13.6017,26.6876,72.77,26,45,12.39,scattered clouds
269,Riyadh,SA,24.6877,46.7219,64.54,26,44,4.85,scattered clouds
270,Topolobampo,MX,25.6,-109.05,73.31,60,0,6.91,clear sky
271,Kocerin,BA,43.3897,17.485,57.67,71,2,5.84,clear sky
272,Saskylakh,RU,71.9167,114.0833,11.44,94,100,13.15,light snow
273,Salta,AR,-24.7859,-65.4117,63.66,43,0,4.34,clear sky
274,Omsukchan,RU,62.5333,155.8,8.1,85,29,3.18,scattered clouds
275,Rafaela,AR,-31.2503,-61.4867,64.98,50,0,3.24,clear sky
276,Dodge City,US,37.7528,-100.0171,54.7,55,0,16.11,clear sky
277,Galeras,CO,9.161,-75.0481,73.89,95,94,5.64,overcast clouds
278,Ilulissat,GL,69.2167,-51.1,30.22,64,100,5.75,overcast clouds
279,Guerrero Negro,MX,27.9769,-114.0611,67.05,77,38,14.52,scattered clouds
280,Chongwe,ZM,-15.3292,28.682,71.56,42,1,5.32,clear sky
281,Laguna,US,38.421,-121.4238,62.76,37,0,4.61,clear sky
282,Darlos,RO,46.1833,24.4,40.91,90,1,1.79,clear sky
283,Manono,CD,-7.3,27.4167,69.03,96,99,0.94,light rain
284,Chernyshevskiy,RU,63.0128,112.4714,28.02,82,100,8.68,overcast clouds
285,Makakilo City,US,21.3469,-158.0858,80.92,64,40,14.97,scattered clouds
286,Paris,FR,48.8534,2.3488,60.22,89,0,5.75,clear sky
287,Flinders,AU,-34.5833,150.8552,81.37,48,51,8.99,broken clouds
288,Dutlwe,BW,-23.9833,23.9,75.11,44,100,10.2,light rain
289,Atasu,KZ,48.6814,71.6433,30.7,75,98,21.85,overcast clouds
290,Port Blair,IN,11.6667,92.75,84.24,79,75,6.91,broken clouds
291,Mumford,GH,5.2618,-0.759,77.81,88,100,4.23,overcast clouds
292,Caconda,AO,-13.7333,15.0667,63.64,80,97,2.77,overcast clouds
293,Tres Arroyos,AR,-38.3739,-60.2798,54.1,96,100,13.65,overcast clouds
294,Trzcianka,PL,53.0406,16.4563,49.71,93,32,4.99,scattered clouds
295,Kodinsk,RU,58.6881,99.1844,31.73,57,100,2.86,overcast clouds
296,Kuandian,CN,40.7286,124.7847,50.02,48,0,9.55,clear sky
