City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
103,Aquiraz,BR,79.18,-3.9014,-38.3911,broken clouds,Pousada Rua Camurupim
108,Tomohon,ID,81.54,1.3346,124.8392,overcast clouds,Gardenia Country Inn
111,Aborlan,PH,89.67,9.4352,118.5492,overcast clouds,Kevina Transient House
113,Avarua,CK,75.25,-21.2078,-159.775,broken clouds,Paradise Inn
121,Keningau,MY,87.64,5.3378,116.1602,overcast clouds,Sabindo Hotel
124,Atar,MR,82.89,20.5169,-13.0499,overcast clouds,Oumou Elghoura
132,Sola,VU,80.37,-13.8833,167.55,clear sky,Leumerus Bungalows
133,San Juan De Uraba,CO,75.94,8.7592,-76.5297,moderate rain,Hotel Cerro De Zumba
135,Bambous Virieux,MU,77.22,-20.3428,57.7575,light rain,Casa Tia Villa
137,Tagusao,PH,83.75,9.1924,117.8141,overcast clouds,Caycay future beach resort
138,Umm Lajj,SA,77.5,25.0213,37.2685,clear sky,Moon light Furnished Units
144,Yulara,AU,85.15,-25.2406,130.9889,clear sky,Desert Gardens Hotel - Ayers Rock Resort
149,Rondonopolis,BR,78.01,-16.4708,-54.6356,clear sky,Serras Hotel
152,Oussouye,SN,78.12,12.485,-16.5469,scattered clouds,Auberge du Routard
156,Cabo San Lucas,MX,78.1,22.8909,-109.9124,clear sky,Hotel Tesoro Los Cabos
157,Poum,NC,77.02,-20.2333,164.0167,clear sky,
160,Port-Gentil,GA,78.98,-0.7193,8.7815,light rain,Fengshui Residence
162,Sharjah,AE,82.38,25.3573,55.4033,haze,Swiss Belhotel Sharjah
163,Saint-Philippe,RE,76.59,-21.3585,55.7679,few clouds,Le four à pain
164,Natal,BR,77.65,-5.795,-35.2094,broken clouds,Villa Park Hotel | Natal
165,Trincomalee,LK,81.57,8.5711,81.2335,broken clouds,Welcombe Hotel
168,Pitimbu,BR,77.59,-7.4706,-34.8086,scattered clouds,Reserva do Abiaí
179,Batuan,PH,76.96,9.7808,124.1484,moderate rain,Mioki Hometel
181,Kahului,US,82.42,20.8947,-156.47,few clouds,Maui Seaside Hotel
187,Inirida,CO,77.36,3.8653,-67.9239,overcast clouds,Fuente del Guania Hotel de Lujo
188,Bayaguana,DO,75.94,18.7564,-69.6362,overcast clouds,Rancho La Mecha
190,Sinnamary,GF,78.39,5.3833,-52.95,scattered clouds,ALETHEIA Appartement Sinnamary
194,Kieta,PG,82.69,-6.2167,155.6333,light rain,Uruna Bay Retreat
197,Kavaratti,IN,82.58,10.5669,72.642,few clouds,Green leaf
199,Santa Cruz,BO,80.06,-17.8,-63.1667,overcast clouds,Aviador Hotel Boutique
201,Anton Lizardo,MX,80.22,19.05,-95.9833,few clouds,Hotel CocoAventura
210,Portobelo,PA,76.96,9.55,-79.65,light rain,Scuba Portobelo
212,Pekan,MY,82.96,3.4836,103.3996,overcast clouds,Pekan Budget Hotel
219,Kanniyakumari,IN,83.23,8.0833,77.5667,overcast clouds,Sparsa Kanyakumari
221,Tiznit,MA,76.37,29.5833,-9.5,overcast clouds,
222,The Valley,AI,82.26,18.217,-63.0578,overcast clouds,CeBlue Villas & Beach Resort
223,Sibolga,ID,82.85,1.7427,98.7792,overcast clouds,Hotel Syariah CN Darussalam
227,Puerto Penasco,MX,75.18,31.3167,-113.5333,clear sky,Playa Bonita Resort
238,Padang,ID,86.05,-0.9492,100.3543,overcast clouds,Mercure Padang
239,Hwange,ZW,81.77,-18.3693,26.5019,scattered clouds,Hwange Colliery Guest House
244,Beruwala,LK,82.06,6.4788,79.9828,overcast clouds,The Palms Hotel
252,Naze,JP,76.12,28.3667,129.4833,overcast clouds,Shishime Hotel
258,Wewak,PG,84.24,-3.5534,143.6268,overcast clouds,In Wewak Boutique Hotel
260,Faanui,PF,79.57,-16.4833,-151.75,light rain,Bora-Bora Pearl Beach Resort & Spa
261,Sabang,ID,81.91,5.8933,95.3214,overcast clouds,Hotel Citra
264,Cockburn Town,TC,79.52,21.4612,-71.1419,light rain,Osprey Beach Hotel
266,Rusape,ZW,75.51,-18.5278,32.1284,clear sky,Surrey Lodge
267,Lazaro Cardenas,MX,79.16,17.9583,-102.2,scattered clouds,HOTEL QUINTA ANTIGUA
277,Mahebourg,MU,77.25,-20.4081,57.7,broken clouds,Shandrani Beachcomber Resort & Spa
281,Quatre Cocos,MU,77.09,-20.2078,57.7625,light rain,Sunrise Attitude Hotel
283,Salalah,OM,78.89,17.0151,54.0924,clear sky,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
286,Alim,PH,84.54,9.5649,122.4876,light rain,Eden Island Resort and Spa
289,Meulaboh,ID,81.82,4.1363,96.1285,overcast clouds,Kost Pria
305,Quelimane,MZ,75.15,-17.8786,36.8883,clear sky,Hotel Flamingo
314,Tiarei,PF,80.62,-17.5333,-149.3333,overcast clouds,Le Rocher de Tahiti
315,Nelson Bay,AU,83.08,-32.7167,152.15,overcast clouds,Mantra Nelson Bay
317,Ambon,ID,89.74,-3.6954,128.1814,scattered clouds,Swiss-Belhotel Ambon
320,Xinyu,CN,79.84,27.8043,114.9334,scattered clouds,Xinyu Beihu Hotel
321,Sri Aman,MY,89.65,1.2376,111.4621,few clouds,Seri Simanggang Hotel
322,Nago,JP,79.23,26.5881,127.9761,overcast clouds,Hotel Yugaf Inn Okinawa
324,Bajna,IN,81.36,27.9,77.6833,clear sky,Atul Guest House
325,Cam Ranh,VN,89.56,11.9214,109.1591,few clouds,OYO 598 Peony Hotel
326,Soc Trang,VN,85.69,9.6033,105.98,overcast clouds,Phu Quy Hotel
335,Waingapu,ID,86.34,-9.6567,120.2641,overcast clouds,Pondok Wisata Elim
348,Vanimo,PG,84.9,-2.6741,141.3028,scattered clouds,Vahmoneh Lodge Vanimo
349,Dunmore Town,BS,79.03,25.5,-76.65,clear sky,Coral Sands Hotel
350,Pringsewu,ID,75.15,-5.3582,104.9744,overcast clouds,Urban Style by Front One
352,Tsiroanomandidy,MG,77.22,-18.7667,46.0333,few clouds,Hotel Ravinala
357,Hatillo,PR,77.79,18.4863,-66.8254,moderate rain,El Buen Hotel
361,Kirakira,SB,84.61,-10.4544,161.9205,scattered clouds,SanBiz Lodge
364,Samarai,PG,84.51,-10.6167,150.6667,few clouds,Nuli Sapi
367,Gizo,SB,84.78,-8.103,156.8419,scattered clouds,Imagination Island
