City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
351,Gambo,CF,4.6482,22.2633,74.08,94,100,1.59
352,Sur,OM,22.5667,59.5289,80.94,55,0,1.19
353,Foki,RU,56.693,54.3499,39.87,69,97,4.99
354,Sabang,ID,5.8933,95.3214,80.15,82,100,26.11
355,Buckeye,US,33.3703,-112.5838,78.82,42,0,0.0
356,Guatire,VE,10.4762,-66.5427,88.2,81,32,3.76
357,Orlik,RU,52.5178,99.825,21.02,66,72,3.53
358,Hasilpur,PK,29.7122,72.5553,77.74,22,0,9.13
359,Chimbote,PE,-9.0853,-78.5783,65.46,73,79,10.63
360,Kruisfontein,ZA,-34.0033,24.7314,67.89,74,83,13.18
361,Mount Gambier,AU,-37.8333,140.7667,56.21,72,68,4.25
362,Impfondo,CG,1.6381,18.0667,72.88,95,99,3.11
363,Kichera,RU,55.9375,110.0997,27.7,74,91,3.74
364,Broome,US,42.2506,-75.833,47.08,57,98,11.01
365,Westport,US,41.1415,-73.3579,56.03,54,0,17.27
366,Garissa,KE,-0.4536,39.6401,84.56,52,72,20.36
367,Khatanga,RU,71.9667,102.5,15.26,92,97,4.72
368,Kuching,MY,1.55,110.3333,75.42,100,40,1.99
369,Grindavik,IS,63.8424,-22.4338,44.55,81,75,14.97
370,Shaowu,CN,27.3409,117.4831,60.35,57,24,1.36
371,Nizwa,OM,22.9333,57.5333,82.26,17,0,2.44
372,Skelleftea,SE,64.7507,20.9528,43.16,95,0,5.75
373,Tevriz,RU,57.509,72.4042,36.18,85,22,5.46
374,Micheweni,TZ,-4.9667,39.8333,76.39,78,96,12.62
375,Lasa,IT,46.6166,10.7002,61.68,86,99,4.12
376,Sydney Mines,CA,46.2367,-60.2177,57.25,92,75,12.66
377,Nelson Bay,AU,-32.7167,152.15,67.08,96,99,15.01
378,San Patricio,US,28.017,-97.5169,71.19,35,0,9.26
379,Roald,NO,62.5833,6.1333,46.33,81,20,2.3
380,Huaihua,CN,27.5494,109.9592,69.44,29,99,3.76
381,Thompson,CA,55.7435,-97.8558,37.56,93,75,5.75
382,Saint-Pierre,RE,-21.3393,55.4781,73.08,64,20,14.97
383,Chinhoyi,ZW,-17.3667,30.2,80.51,29,34,9.04
384,Codajas,BR,-3.8367,-62.0569,91.81,51,95,4.27
385,Conceicao Do Araguaia,BR,-8.2578,-49.2647,98.73,25,77,3.51
386,Puerto Carreno,CO,6.189,-67.4859,85.98,70,75,3.44
387,Itacoatiara,BR,-3.1431,-58.4442,92.7,48,68,4.54
388,Taoudenni,ML,22.6783,-3.9836,97.93,9,5,11.36
389,Umtata,ZA,-31.5889,28.7844,64.24,84,75,6.73
390,Pedro Carbo,EC,-1.8333,-80.2333,84.85,49,87,3.69
391,Oranjemund,NA,-28.55,16.4333,62.37,73,82,25.66
392,Vanimo,PG,-2.6741,141.3028,78.13,83,45,1.16
393,Santiago De Cuba,CU,20.0247,-75.8219,84.31,70,20,5.75
394,Kutum,SD,14.2,24.6667,85.01,19,8,7.99
395,Victoria,HK,22.2855,114.1577,77.38,75,97,10.0
396,Bonthe,SL,7.5264,-12.505,81.81,71,88,3.38
397,Souillac,MU,-20.5167,57.5167,70.18,88,75,3.44
398,Acarau,BR,-2.8856,-40.12,89.24,53,65,20.62
399,Sao Felix Do Xingu,BR,-6.6447,-51.995,99.55,29,38,5.68
400,Marechal Candido Rondon,BR,-24.5561,-54.0567,70.29,92,100,12.33
401,Mancio Lima,BR,-7.6142,-72.8958,82.47,78,75,8.05
402,Nebug,RU,44.1714,39.0036,54.9,76,74,15.99
403,Port Hedland,AU,-20.3167,118.5667,75.25,83,0,8.05
404,Peniche,PT,39.3558,-9.3811,66.07,92,100,21.14
405,Katobu,ID,-4.9408,122.5276,76.84,88,52,3.89
406,Panzhihua,CN,26.5851,101.7128,63.01,76,0,1.57
407,Marystown,CA,47.1666,-55.1483,58.12,96,100,19.33
408,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,87,20,24.16
409,Terney,RU,45.0503,136.6092,44.51,64,33,7.56
410,Genhe,CN,50.7833,121.5167,34.92,63,100,3.31
411,Ozerna,UA,49.6289,25.329,39.54,68,14,6.17
412,Yunyang,CN,33.4474,112.7142,60.39,33,19,1.07
413,Biryukove,UA,47.9563,39.7384,43.36,88,40,11.43
414,Pichayevo,RU,53.2363,42.2032,44.87,73,99,11.32
415,Marawi,PH,7.9986,124.2928,69.55,96,100,0.96
416,Bambanglipuro,ID,-7.95,110.2833,77.38,90,100,2.28
417,Talcahuano,CL,-36.7167,-73.1167,56.88,62,0,4.61
418,Ehingen,DE,48.2826,9.7275,60.44,93,75,2.3
419,Taywarah,AF,33.35,64.4167,42.12,14,0,2.8
420,Dickinson,US,29.4608,-95.0513,72.03,54,16,4.0
421,Srednekolymsk,RU,67.45,153.6833,14.05,93,100,17.9
422,Biak,ID,-0.9131,122.8766,77.11,85,100,0.94
423,Ussel,FR,45.55,2.3167,60.89,87,100,11.59
424,Kahna Nau,PK,31.3692,74.3653,71.64,64,0,11.5
425,Abu Dhabi,AE,24.4667,54.3667,87.91,67,0,8.05
426,Caborca,MX,30.5838,-111.101,75.2,36,37,4.38
427,Toora-Khem,RU,52.4675,96.11,28.47,57,98,2.64
428,Wajir,KE,1.7471,40.0573,91.36,33,40,3.44
429,Semenyih,MY,2.9516,101.843,83.98,88,83,2.35
430,Kama,RU,56.3051,54.0936,39.45,72,56,4.72
431,Salaberry-De-Valleyfield,CA,45.2501,-74.1325,43.7,81,100,9.22
432,Sibu,MY,2.3,111.8167,77.31,94,40,0.0
433,Biloela,AU,-24.4167,150.5,67.14,90,73,4.97
434,Sisimiut,GL,66.9395,-53.6735,23.5,72,100,16.49
435,Karasburg,NA,-28.0167,18.75,86.02,24,59,17.16
436,Nouadhibou,MR,20.931,-17.0347,80.58,57,0,16.11
437,Havoysund,NO,70.9963,24.6622,37.63,54,100,18.81
438,Hwange,ZW,-18.3693,26.5019,89.64,22,25,6.22
439,Genc,TR,38.7507,40.5603,63.72,37,15,5.37
440,Pinheiro Machado,BR,-31.5783,-53.3811,72.05,73,79,6.85
